Course Title,Course Rating,Course Enrollment,Course URL
The Science of Well-Being,4.9,2m,/learn/the-science-of-well-being
IBM Data Science,4.6,410k,/professional-certificates/ibm-data-science
Introduction to Data Science,4.6,260k,/specializations/introduction-data-science
N / A,N / A,N / A,N / A
Google IT Support,4.8,290k,/professional-certificates/google-it-support
Python for Everybody,4.8,1.2m,/specializations/python
Deep Learning,4.8,610k,/specializations/deep-learning
N / A,N / A,N / A,N / A
Machine Learning,4.9,3m,/learn/machine-learning
Business Foundations,4.7,480k,/specializations/wharton-business-foundations
Applied Data Science,4.6,190k,/specializations/applied-data-science
TensorFlow in Practice,4.7,150k,/specializations/tensorflow-in-practice
IBM Applied AI,4.6,180k,/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
Data Science,4.5,780k,/specializations/jhu-data-science
Financial Markets,4.8,330k,/learn/financial-markets-global
Data Science: Foundations using R,4.5,690k,/specializations/data-science-foundations-r
Epidemiology in Public Health Practice,4.7,25k,/specializations/professional-epidemiology
Finance & Quantitative Modeling for Analysts,4.5,250k,/specializations/finance-quantitative-modeling-analysts
Excel Skills for Business,4.9,170k,/specializations/excel
Google IT Automation with Python,4.7,52k,/professional-certificates/google-it-automation
Business Analytics,4.6,270k,/specializations/business-analytics
Applied Data Science with Python,4.5,420k,/specializations/data-science-python
Business and Financial Modeling,4.5,150k,/specializations/wharton-business-financial-modeling
Cloud Architecture with Google Cloud,4.7,260k,/professional-certificates/gcp-cloud-architect
Entrepreneurship,4.8,100k,/specializations/wharton-entrepreneurship
IBM AI Engineering,4.7,110k,/professional-certificates/ai-engineer
Introduction to Psychology,4.9,170k,/learn/introduction-psychology
Architecting with Google Compute Engine,4.7,260k,/specializations/gcp-architecture
Cloud Engineering with Google Cloud,4.7,260k,/professional-certificates/cloud-engineering-gcp
Graphic Design,4.7,290k,/specializations/graphic-design
Digital Marketing,4.6,340k,/specializations/digital-marketing
Foundations of Positive Psychology,4.8,80k,/specializations/positivepsychology
Python 3 Programming,4.7,86k,/specializations/python-3-programming
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.8,200k,/learn/negotiation
Primeros Auxilios Psicológicos (PAP),4.8,240k,/learn/pap
Project Management Principles and Practices,4.7,200k,/specializations/project-management
Project Management & Other Tools for Career Development,4.6,410k,/specializations/project-management-success
Technical Support Fundamentals,4.8,220k,/learn/technical-support-fundamentals
Viral Marketing and How to Craft Contagious Content,4.7,130k,/learn/wharton-contagious-viral-marketing
Architecting with Google Kubernetes Engine,4.7,250k,/specializations/architecting-google-kubernetes-engine
Psychological First Aid,4.8,140k,/learn/psychological-first-aid
Developing Applications with Google Cloud Platform,4.7,250k,/specializations/developing-apps-gcp
Achieving Personal and Professional Success,4.7,90k,/specializations/wharton-success
Data Engineering with Google Cloud,4.6,110k,/professional-certificates/gcp-data-engineering
Excel to MySQL: Analytic Techniques for Business,4.6,460k,/specializations/excel-mysql
Improve Your English Communication Skills,4.7,510k,/specializations/improve-english
Security in Google Cloud Platform,4.7,250k,/specializations/security-google-cloud-platform
"Data Engineering, Big Data, and Machine Learning on GCP",4.6,100k,/specializations/gcp-data-machine-learning
Networking in Google Cloud,4.7,250k,/specializations/networking-google-cloud-platform
Data Analysis and Presentation Skills: the PwC Approach,4.6,200k,/specializations/pwc-analytics
Construction Management,4.7,54k,/specializations/construction-management
Successful Negotiation: Essential Strategies and Skills,4.8,660k,/learn/negotiation-skills
Programming for Everybody (Getting Started with Python),4.8,1.1m,/learn/python
Java Programming and Software Engineering Fundamentals,4.6,340k,/specializations/java-programming
AI For Everyone,4.8,260k,/learn/ai-for-everyone
Career Success,4.4,750k,/specializations/career-success
UI / UX Design,4.8,53k,/specializations/ui-ux-design
Mathematics for Machine Learning,4.6,130k,/specializations/mathematics-machine-learning
Software Product Management,4.6,110k,/specializations/product-management
Digital Transformation,4.8,54k,/learn/bcg-uva-darden-digital-transformation
Web Design for Everybody: Basics of Web Development & Coding,4.7,230k,/specializations/web-design
Arizona State University TESOL,4.9,140k,/professional-certificates/arizona-state-university-tesol
AI Foundations for Everyone,4.7,49k,/specializations/ai-foundations-for-everyone
UCI Project Management,4.6,N / A,/professional-certificate/applied-project-management
Genomic Data Science,4.4,75k,/specializations/genomic-data-science
Reinforcement Learning,4.7,19k,/specializations/reinforcement-learning
Neural Networks and Deep Learning,4.9,550k,/learn/neural-networks-deep-learning
Data Visualization with Tableau,4.5,86k,/specializations/data-visualization
Human Resource Management: HR for People Managers,4.7,84k,/specializations/human-resource-management
Become a CBRS Certified Professional Installer by Google,4.9,N / A,/learn/google-cbrs-cpi-training
Search Engine Optimization (SEO),4.6,100k,/specializations/seo
The Business of Health Care,4.6,18k,/specializations/healthcare-administration-management
Social Media Marketing,4.6,120k,/specializations/social-media-marketing
Learn SQL Basics for Data Science,4.6,140k,/specializations/learn-sql-basics-data-science
Supply Chain Management,4.7,67k,/specializations/supply-chain-management
Neurolinguistics,N / A,33k,/learn/neuroling
Academic English: Writing,4.7,490k,/specializations/academic-english
Management of Fashion and Luxury Companies,4.7,110k,/learn/mafash
What is Data Science?,4.7,220k,/learn/what-is-datascience
"TESOL Certificate, Part 1: Teach English Now!",4.9,100k,/specializations/tesol
Fintech: Foundations & Applications of Financial Technology,4.6,16k,/specializations/wharton-fintech
Creative Writing,4.6,130k,/specializations/creative-writing
Algorithms,4.8,140k,/specializations/algorithms
Stanford Introduction to Food and Health,4.7,320k,/learn/food-and-health
Fundamentals of Project Planning and Management,4.7,110k,/learn/uva-darden-project-management
Leading People and Teams,4.7,200k,/specializations/leading-teams
Methods and Statistics in Social Sciences,4.7,250k,/specializations/social-science
Statistics with R,4.7,210k,/specializations/statistics
Geographic Information Systems  (GIS),4.8,89k,/specializations/gis
Social Psychology,4.8,130k,/learn/social-psychology
Investment Management,4.7,90k,/specializations/investment-management
Regulatory Compliance,4.8,9.6k,/specializations/regulatory-compliance
Data Structures and Algorithms,4.6,270k,/specializations/data-structures-algorithms
Advanced Machine Learning,4.5,160k,/specializations/aml
Design Thinking for Innovation,4.6,220k,/learn/uva-darden-design-thinking-innovation
Object Oriented Programming in Java,4.7,300k,/specializations/object-oriented-programming
Full-Stack Web Development with React,4.8,110k,/specializations/full-stack-react
Learning How to Learn: Powerful mental tools to help you master tough subjects,4.8,2.1m,/learn/learning-how-to-learn
Agile Development,4.7,92k,/specializations/agile-development
Financial Accounting Fundamentals,4.8,52k,/learn/uva-darden-financial-accounting
Writing in the Sciences,4.9,110k,/learn/sciwrite
The DIY Musician,4.8,110k,/specializations/diy-musician
Indigenous Canada,4.8,46k,/learn/indigenous-canada
Functional Programming in Scala,4.7,220k,/specializations/scala
(ISC)² Systems Security Certified Practitioner (SSCP),4.7,4.6k,/specializations/sscp-training
Essential Epidemiologic Tools for Public Health Practice,4.7,9.3k,/learn/epidemiology-tools
Cisco Networking Basics,4.7,51k,/specializations/networking-basics
Seeing Through Photographs,4.8,270k,/learn/photography
Business Statistics and Analysis,4.7,100k,/specializations/business-statistics-analysis
Statistics with Python,4.6,27k,/specializations/statistics-with-python
An Introduction to American Law,4.8,95k,/learn/american-law
Машинное обучение и анализ данных,4.7,74k,/specializations/machine-learning-data-analysis
Full Stack Web and Multiplatform Mobile App Development,4.8,120k,/specializations/full-stack-mobile-app-development
Modern Art & Ideas,4.7,240k,/learn/modern-art-ideas
Learn Spanish: Basic Spanish Vocabulary,4.6,63k,/specializations/learn-spanish
Python Data Structures,4.9,350k,/learn/python-data
User Experience Research and Design,4.8,18k,/specializations/michiganux
Introduction to Marketing,4.8,210k,/learn/wharton-marketing
Excel Skills for Business: Essentials,4.9,140k,/learn/excel-essentials
G Suite Administration,4.7,7.4k,/specializations/g-suite-administration
Music Production,4.8,63k,/specializations/music-production
Managing Innovation and Design Thinking,4.7,18k,/specializations/managing-innovation-design-thinking
Fundamentals of Immunology,4.7,15k,/specializations/immunology
"Brand Management: Aligning Business, Brand and Behaviour",4.9,34k,/learn/brand
Fashion as Design,4.8,110k,/learn/fashion-design
The Business of Music Production,4.8,78k,/specializations/business-music-production
Strategic Leadership and Management,4.7,89k,/specializations/strategic-leadership
Open Source tools for Data Science,4.6,98k,/learn/open-source-tools-for-data-science
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.7,130k,/learn/introduction-tensorflow
Vital Signs: Understanding What the Body Is Telling Us,4.8,170k,/learn/vital-signs
Excel/VBA for Creative Problem Solving,4.8,49k,/specializations/excel-vba-creative-problem-solving
Gamification,4.8,110k,/learn/gamification
The Art of Sales: Mastering the Selling Process,4.7,20k,/specializations/the-art-of-sales-mastering-the-selling-process
Photography Basics and Beyond: From Smartphone to DSLR,4.7,150k,/specializations/photography-basics
Blockchain Revolution,4.7,15k,/specializations/blockchain-revolution-enterprise
Big Data,4.5,180k,/specializations/big-data
Machine Learning with TensorFlow on Google Cloud Platform,4.5,65k,/specializations/machine-learning-tensorflow-gcp
The Bits and Bytes of Computer Networking,4.7,110k,/learn/computer-networking
Accelerated Computer Science Fundamentals,4.7,16k,/specializations/cs-fundamentals
Moral Foundations of Politics,4.8,85k,/learn/moral-politics
Camino a la Excelencia en Gestión de Proyectos,4.7,180k,/learn/camino-excelencia-gestion-proyectos
Private Equity and Venture Capital,4.8,70k,/learn/private-equity
Organizational Leadership,4.6,87k,/specializations/organizational-leadership
Business Strategy,4.7,83k,/specializations/business-strategy
Culture-Driven Team Building,4.6,16k,/specializations/team-building
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",4.9,250k,/learn/deep-neural-network
Electronic Music Production,4.8,100k,/specializations/electronic-music-production
Biostatistics in Public Health,4.8,11k,/specializations/biostatistics-public-health
What Is Contemporary Art?,4.6,60k,/learn/contemporary-art
Python for Data Science and AI,4.6,140k,/learn/python-for-applied-data-science-ai
Executive Data Science,4.5,160k,/specializations/executive-data-science
Anatomy,4.8,22k,/specializations/anatomy
Fundamentals of Computing,4.8,190k,/specializations/computer-fundamentals
Introduction to the Biology of Cancer,4.8,98k,/learn/cancer
Futures Thinking,4.8,7.1k,/specializations/futures-thinking
Business Strategies for A Better World,4.7,21k,/specializations/wharton-global-business-strategy
SAS Programmer,4.8,20k,/professional-certificates/sas-programming
English for Career Development,4.8,600k,/learn/careerdevelopment
Financial Engineering and Risk Management Part I,4.6,300k,/learn/financial-engineering-1
Science of Exercise,4.8,110k,/learn/science-exercise
Six Sigma Yellow Belt,4.6,29k,/specializations/six-sigma-fundamentals
Advanced Data Science with IBM,4.3,54k,/specializations/advanced-data-science-ibm
AWS Fundamentals,4.7,97k,/specializations/aws-fundamentals
Digital Product Management: Modern Fundamentals,4.7,49k,/learn/uva-darden-digital-product-management
Data Science: Statistics and Machine Learning,4.3,200k,/specializations/data-science-statistics-machine-learning
Food & Beverage Management,4.8,47k,/learn/food-beverage-management
IT Fundamentals for Cybersecurity,4.5,16k,/specializations/it-fundamentals-cybersecurity
Crash Course on Python,4.7,46k,/learn/python-crash-course
Machine Learning for Trading,3.8,12k,/specializations/machine-learning-trading
An Introduction to Programming the Internet of Things (IOT),4.6,240k,/specializations/iot
Investment Management with Python and Machine Learning,4.6,9.7k,/specializations/investment-management-python-machine-learning
Become an EMT,4.8,9.7k,/specializations/become-an-emt
Design and Interpretation of Clinical Trials,4.7,61k,/learn/clinical-trials
Self-Driving Cars,4.7,29k,/specializations/self-driving-cars
Claves de la Dirección de Empresas,4.8,48k,/specializations/direccion-empresas
Machine Learning,4.6,270k,/specializations/machine-learning
Intellectual Property Law,4.8,6.7k,/specializations/introduction-intellectual-property
Финансовые инструменты для частного инвестора,4.7,35k,/specializations/finansovyye-instrumenty
"Anatomy of the Chest, Abdomen, and Pelvis",4.8,28k,/learn/trunk-anatomy
Искусство разработки на современном C++,4.9,40k,/specializations/c-plus-plus-modern-development
TensorFlow: Data and Deployment,4.6,9k,/specializations/tensorflow-data-and-deployment
Interaction Design,4.5,150k,/specializations/interaction-design
Marketing Mix Implementation,4.6,85k,/specializations/marketing-mix
Data Science Methodology,4.6,74k,/learn/data-science-methodology
Statistical Analysis with R for Public Health,4.7,13k,/specializations/statistical-analysis-r-public-health
Business English Communication Skills,4.7,110k,/specializations/business-english
Learning to Teach Online,4.7,46k,/learn/teach-online
Medical Neuroscience,4.9,150k,/learn/medical-neuroscience
